,Gas Peak Obserbation of Drilling Well,,,,,,,,,,,,
,Depth,Total Gas,C1,C2,C 3,iC4,nC4,iC5,nC5,Gas,,,
,(m),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),Type,,,
,SANU,,,,,,,,,,,,
,3040,13822,2746,0,327,20,34,21,24,FG,,,
,Paiwar,,,,,,,,,,,,
,3147,9913,1585,135,75,3,2,2,1,FG,,,
,3149,14142,1907,60,27,6,0,3,1,FG,,,
,3150,23230,2921,143,74,13,0,3,9,FG,,,
,3156,13675,1703,47,18,9,0,0,4,FG,,,
,3174,8130,3121,171,106,4,3,2,0,FG,,,
,3175,12673,7809,392,286,5,4,4,0,FG,,,
,3176,12544,6590,353,248,9,8,14,11,FG,,,
,3177,11165,5510,302,214,8,7,6,8,FG,,,
,3179,8301,3377,180,111,5,3,4,1,FG,,,
,3180,8572,3117,179,113,5,3,5,0,FG,,,
,3187,29137,3584,161,79,20,0,10,9,FG,,,
,3206,8707,1515,131,71,2,2,1,3,FG,,,
,3207,9031,1783,147,84,2,2,1,2,FG,,,
,3211,19425,2126,120,59,10,1,3,3,FG,,,
,3217,7970,2323,173,110,3,2,1,3,FG,,,
,3224,21849,14914,1203,961,17,23,7,4,FG,,,
,3241,18739,2452,139,73,14,1,27,3,FG,,,
,3276,9056,1617,135,76,7,3,2,3,FG,,,
,3277,9389,1911,156,96,7,3,3,2,FG,,,
,3278,9416,4156,315,224,8,7,4,2,FG,,,
,3283,5918,1536,117,70,6,3,1,4,FG,,,
,3284,10277,5292,375,269,9,8,1,4,FG,,,
,3285,11329,6267,441,328,10,0,0,5,FG,,,
,3286,18407,3746,218,131,14,2,0,4,FG,,,
,3287,11753,4680,336,232,11,6,0,4,FG,,,
,3288,7019,1601,118,70,6,3,0,3,FG,,,
,3289,10294,4760,335,237,8,6,0,4,FG,,,
,3292,15503,3943,329,208,14,9,0,6,FG,,,
,3293,15352,3986,325,213,14,9,0,5,FG,,,
,3295,11234,3161,242,158,10,7,0,4,FG,,,
,3296,11073,3031,234,152,10,7,0,5,FG,,,
,3297,13238,2010,50,22,12,3,6,5,FG,,,
,3298,40266,8651,482,283,37,5,6,7,FG,,,
,3302,6069,1567,113,67,6,5,6,5,FG,,,
,3304,14747,2227,139,77,16,2,3,5,FG,,,
,3316,5519,2360,164,109,4,2,1,1,FG,,,
,3317,5180,1671,111,69,5,2,2,2,FG,,,
,3318,6788,3116,187,128,6,3,1,2,FG,,,
,3319,7272,3467,213,147,6,3,1,3,FG,,,
,3320,8273,4402,253,179,6,3,2,3,FG,,,
,3321,8592,3649,244,165,8,4,3,3,FG,,,
,3322,9848,4816,305,213,8,0,1,3,FG,,,
,3323,14745,9090,549,411,11,8,3,3,FG,,,
,3324,9023,3749,243,164,8,5,3,2,FG,,,
,3325,7278,2160,178,107,7,0,2,2,FG,,,
,3326,13566,7774,484,356,10,0,3,3,FG,,,
,3327,7753,2459,180,111,8,0,3,3,FG,,,
,3328,6840,2238,153,90,8,5,0,2,FG,,,
,3329,9319,4334,270,186,10,6,3,3,FG,,,
,3330,9869,5027,301,206,9,6,3,3,FG,,,
,3331,8020,2798,198,129,9,6,3,3,FG,,,
,3333,9423,3624,228,151,10,7,3,4,FG,,,
,3334,11116,5119,305,209,10,7,3,3,FG,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
